"Issue Name","Issue Type","Issue Priority","URLs","% of Total","Description","How To Fix"
"Security: Unsafe Cross-Origin Links","Warning","Low","3","18.750","URLs that link to external websites using the target=""_blank"" attribute (to open in a new tab), without using rel=""noopener"" (or rel=""noreferrer"") at the same time. Using target=""_blank"" alone leaves those pages exposed to both security and performance issues for some legacy browsers, which are estimated to be below 5% of market share. Setting target=""_blank"" on <a> elements implicitly provides the same rel behavior as setting rel=""noopener"" which does not set window.opener for most modern browsers, such as Chrome, Safari, Firefox and Edge.  The external links that contain the target=""_blank"" attribute by itself can be viewed in the 'outlinks' tab and 'target' column. They can be exported alongside the pages they are linked from via 'Bulk Export > Security > Unsafe Cross-Origin Links'.","Consider the benefits of including the rel=""noopener"" link attribute on any links that contain the target=""_blank"" attribute to avoid security and performance issues for the users of legacy browsers that may visit the website."
"Validation: Missing <head> Tag","Issue","High","1","6.250","Pages missing a <head> element within the HTML. The <head> element is a container for metadata about the page, that's placed between the <html> and <body> tag. Metadata is used to define the page title, character set, styles, scripts, viewport and other data that's critical to the page. Browsers and Googlebot will automatically generate a <head> element if it's omitted in the markup, however it may not contain meaningful metadata for the page and this should not be relied upon.","Ensure all pages have a valid <head> element with appropriate metadata for the document that is the first element in the <html> element."
"Validation: <head> Not First In <html> Element","Warning","High","1","6.250","Pages with an HTML element that precede the <head> element in the HTML. The <head> should be the first element in the <html> element. Browsers and Googlebot will automatically generate a <head> element if it's not first in the HTML. While ideally <head> elements would be in the <head>, if a valid <head> element is first in the <html> it will be considered as part of the generated <head>. However, if non <head> elements such as <p>, <body>, <img> etc. are used before the intended <head> element and its metadata, then Google assumes the end of the <head> element. This means the intended <head> element and its metadata will be seen in the <body> and ignored.","Ensure all pages have a valid <head> element with appropriate metadata for the document that is the first element in the <html> element."
"Meta Description: Missing","Opportunity","Low","4","100.000","Pages which have a missing meta description, the content is empty or has a whitespace. This is a missed opportunity to communicate the benefits of your product or service and influence click through rates for important URLs.","It's important to write unique and descriptive meta descriptions on key pages to communicate the purpose of the page to users, and entice them to click on your result over the competition. It can also mean Google use this description for snippets in the search results for some queries, rather than make up their own based upon the content of the page."
"Content: Low Content Pages","Opportunity","Medium","3","75.000","Pages with a word count that is below the default 200 words. The word count is based upon the content area settings used in the analysis which can be configured via 'Config > Content > Area'. There isn't a minimum word count for pages in reality, but the search engines do require descriptive text to understand the purpose of a page. This filter should only be used as a rough guide to help identify pages that might be improved by adding more descriptive content in the context of the website and page's purpose. Some websites, such as ecommerce, will naturally have lower word counts, which can be acceptable if a products details can be communicated efficiently.","Consider including additional descriptive content to help the user and search engines better understand the page."
"Page Titles: Below 200 Pixels","Opportunity","Medium","3","75.000","Pages which have page titles much shorter than Google's estimated pixel length limit. This isn't necessarily an issue, but it does indicate there might be room to target additional keywords or communicate your USPs.","Consider updating the page title to take advantage of the space left to include additional target keywords or USPs."
"URL: Uppercase","Warning","Low","4","25.000","URLs that have uppercase characters within them. URLs are case sensitive, so as best practice generally URLs should be lowercase, to avoid any potential mix ups and duplicate URLs.","Ideally lowercase characters should be used for URLs only. However, changing URLs is a big decision, and often it's not worth changing them for SEO purposes alone. If URLs are changed, then appropriate 301 redirects must be implemented."
"Links: Pages Without Internal Outlinks","Warning","High","1","25.000","Pages that do not contain links to other internal pages. This can mean there are no links to other pages. However, it is also often due to the use of JavaScript, where links are not present in the raw HTML and are only in the rendered HTML after JavaScript has been processed. Enable JavaScript rendering mode ('Config > Spider > Rendering') to crawl pages with links that are only client-side in the rendered HTML. If there are no links that use an <a> tag with an href attribute to other internal pages, the search engines and the SEO Spider will have trouble discovering and indexing them.","Review the pages and whether there are links in the raw or rendered HTML. Switch to JavaScript rendering mode if links are only in the rendered HTML. While Google is able to render pages and see client-side only links, consider including important links server side in the raw HTML. For pages that simply don't link to any other internal pages, consider linking to other pages to help users continue in their journey and pass PageRank onwards."
"Canonicals: Missing","Warning","Medium","4","100.000","Pages that have no canonical URL present either as a link element, or via HTTP header. If a page doesn't indicate a canonical URL, Google will identify what they think is the best version or URL. This can lead to ranking unpredictability when there are multiple versions discovered, and hence generally all URLs should specify a canonical version","Specify a canonical URL for every page to avoid any potential ranking unpredictability if multiple versions of the same page are discovered on different URLs."
"Page Titles: Missing","Issue","High","1","25.000","Pages which have a missing page title element, the content is empty, or has a whitespace. Page titles are read and used by both users and the search engines to understand what a page is about. They are important for SEO as page titles are used in rankings, and vital for user experience, as they are displayed in browsers, search engine results and on social networks.","It's essential to write concise, descriptive and unique page titles on every indexable URL to help users, and enable search engines to score and rank the page for relevant search queries."
